Ticker,Group,BreakFeven Price,1% at Risk,3% at Risk,5% at Risk,Proposed Price
BAB,C,8480,13152.28,14574.22,15286.8,13150
ACB,A,13450,19618.0,21193.0,22122.0,22100
NVB,C,10800,16689.12,18397.84,19256.0,16700
BID,A,18450,25403.43,27236.0,28175.0,28200
SHB,C,10150,16680.1,18459.95,19420.0,16700
CTG,B,10800,16623.8,18263.0,19106.8,18250
AAV,B,12350,18301.72,20248.3,21445.0,20250
EIB,C,9820,13997.6,15163.0,15763.0,14000
ACM,D,440,1178.26,1445.78,1595.0,440
HDB,C,8480,13288.27,14656.27,15364.45,13300
LPB,C,8500,12958.0,14202.8,14788.0,12950
MBB,A,9950,15704.0,17224.0,18143.15,18150
ADC,B,900,3684.96,5048.88,5867.0,5050
MSB,A,8410,12898.92,14115.76,14801.0,14800
ALT,B,3110,6269.98,7191.47,7698.0,7190
OCB,A,9180,14112.6,15415.0,16188.0,16200
AMC,B,5750,11137.84,12703.0,13565.05,12700
SSB,C,17650,25242.04,27191.29,28419.15,25250
AME,C,2610,4417.22,5001.0,5325.05,4420
STB,C,6490,11680.76,13281.279999999999,14125.8,11700
AMV,A,3730,5834.95,6435.85,6746.0,6750
TCB,A,26100,35424.24,37913.31,39297.55,39300
API,C,6780,15782.56,18985.0,20749.45,15800
TPB,A,18600,26884.36,29012.88,30299.0,30300
APP,B,1000,3047.32,3870.0,4334.1,3870
VCB,A,49950,67669.15,71858.96,74037.45,74000
ARM,C,17800,27246.3,30051.34,31375.0,27250
VIB,C,11100,18173.14,20206.42,21286.35,18150
ASG,B,13800,18481.0,19667.33,20327.0,19650
VPB,A,8680,16220.08,18533.54,19847.0,19850
ATS,B,20800,25773.0,26915.09,27605.15,26900
AAA,B,6480,9784.880000000001,10661.0,11118.0,10650
BAX,A,32250,46251.96,50593.93,52585.95,52600
AAM,B,2200,4244.0,4927.0,5360.0,4930
BBS,D,3460,5536.0,6198.0,6559.35,3460
AAT,A,10050,14802.9,16146.0,16903.0,16900
BCC,B,8180,13145.0,14571.8,15323.0,14550
ABS,B,5260,9412.3,10689.0,11364.0,10700
BCF,A,16300,23921.73,25950.760000000002,27046.0,27050
ABT,B,14600,21516.0,23231.0,24106.75,23250
BDB,B,4670,7445.98,8181.0,8549.0,8180
ACC,C,5870,9355.01,10355.0,10881.0,9360
