Ticker,Group,BreakFeven Price,1% at Risk,3% at Risk,5% at Risk,Proposed Price
BAB,C,8540,13236.7,14668.3,15389.0,13250
ACB,A,13250,19407.04,21004.06,21914.1,21900
NVB,C,10800,16666.16,18367.64,19234.4,16650
BID,A,18600,25557.46,27402.69,28338.15,28350
SHB,C,10200,16709.0,18494.239999999998,19441.8,16700
CTG,B,10700,16509.94,18146.64,18981.7,18150
AAV,B,12500,18537.9,20507.52,21705.1,20500
EIB,C,9720,13874.98,15029.94,15623.0,13850
ACM,D,430,1170.0,1435.0,1585.0,430
HDB,C,8420,13201.56,14561.68,15269.8,13200
LPB,C,8520,13049.28,14290.0,14891.8,13050
MBB,A,9830,15527.4,17051.2,17963.0,17950
ADC,B,860,3650.82,5030.23,5848.05,5030
MSB,A,12600,18137.0,19568.0,20341.0,20350
ALT,B,3080,6217.63,7126.0,7636.0,7130
OCB,A,8820,13617.88,14900.84,15640.4,15650
AMC,B,5420,10553.12,12057.27,12854.0,12050
SSB,C,16500,23701.52,25683.08,26911.0,23700
AME,C,2660,4514.0,5118.0,5456.0,4510
STB,C,6430,11578.89,13165.67,14004.45,11600
AMV,A,3580,5598.76,6173.0,6473.0,6470
TCB,A,25450,34791.92,37344.68,38695.6,38700
API,C,6580,15371.6,18502.52,20228.4,15350
TPB,A,18600,26903.55,29027.9,30347.5,30350
APP,B,1160,3218.6400000000003,4041.98,4506.0,4040
VCB,A,49150,66643.15,70789.72,72925.35,72900
ARM,C,17800,27246.3,30051.34,31375.0,27250
VIB,C,11100,18163.32,20196.96,21288.6,18150
ASG,B,13500,17768.02,19057.06,19722.1,19050
VPB,A,32100,43514.4,46473.36,48200.3,48200
ATS,B,20800,25773.0,26915.09,27605.15,26900
AAA,B,6380,9686.9,10543.0,10998.5,10550
BAX,A,33200,47559.74,51988.0,54055.75,54100
AAM,B,1960,4027.0,4710.0,5079.0,4710
BBS,D,3720,5922.25,6623.25,6999.75,3720
AAT,A,9670,14299.14,15680.66,16385.7,16400
BCC,B,8250,13265.7,14725.1,15472.5,14750
ABS,B,4990,8878.98,10070.0,10699.45,10050
BCF,A,16950,24780.87,26819.49,27990.0,28000
ABT,B,14050,20689.05,22343.0,23179.0,22350
BDB,B,6000,8461.0,9252.0,9668.0,9250
ACC,C,5870,9368.42,10379.13,10901.0,9370
BED,A,20250,28862.94,31413.96,32654.75,32650
ACL,B,5440,7867.68,8517.02,8850.0,8520
BII,A,3240,6839.25,8125.0,8821.25,8820
ADG,B,20750,27996.47,29866.0,30818.0,29850
BKC,D,1010,2404.64,2917.92,3231.0,1010
ADS,C,20300,27289.36,29039.6,30097.6,27300
BLF,D,1280,1908.13,2054.0,2138.0,1280
AGG,B,25000,31866.8,33491.1,34479.5,33500
BNA,B,25250,39684.64,44052.66,46142.8,44050
AGM,B,5490,12738.33,15161.99,16519.0,15150
BPC,B,3520,6108.28,6873.0,7284.85,6870
BSC,Not enough data,7650,10298.0,10963.06,11330.55,Not enough data
AMD,B,540,1445.0,1763.0,1939.4500000000003,1760
BST,B,3450,6462.96,7478.0,7995.8,7480
ANV,C,11050,17362.850000000002,19068.54,20056.9,17350
BTS,B,1810,4064.74,4857.0,5340.0,4860
BTW,A,8830,16205.0,18244.92,19389.4,19400
APC,B,9780,13562.0,14782.0,15414.75,14800
BXH,B,6190,7681.0,8035.0,8226.0,8040
APH,B,11700,19630.0,21900.0,23108.0,21900
C69,Not enough data,2280,4893.0,5779.95,6261.0,Not enough data
ASM,B,3300,6257.14,7249.0,7870.0,7250
C92,C,680,1685.32,2045.96,2245.0,1690
ASP,C,7950,10913.24,11762.06,12273.6,10900
CAG,A,3170,7297.66,8545.98,9268.0,9270
AST,C,30050,39180.0,41575.4,42858.0,39200
CAN,B,7070,14727.6,17030.0,18335.0,17050
BBC,B,19850,33610.86,37610.14,39717.9,37600
CAP,B,51800,61292.63,64399.51,65650.75,64400
BCE,B,6490,9426.1,10237.0,10678.5,10250
CEO,D,2850,5267.43,5935.43,6309.0,2850
CET,B,1490,2584.46,3006.76,3277.3,3010
BCG,B,7170,11211.22,12284.44,12953.1,12300
CIA,Not enough data,6210,9507.78,10361.0,10896.95,Not enough data
BCM,B,20250,28240.81,30390.0,31530.0,30400
CJC,D,7000,10301.14,11186.0,11645.35,7000
BFC,B,9440,16019.0,18197.989999999998,19377.0,18200
CKV,A,5000,8046.61,8838.0,9284.0,9280
BHN,A,26700,37537.4,40655.24,42319.0,42300
CLH,A,16250,20559.54,21671.0,22195.35,22200
CLM,B,11700,20059.94,22425.98,23738.65,22450
BKG,B,3710,5381.74,5927.22,6212.0,5930
CMC,C,1540,3133.83,3612.83,3852.05,3130
BMC,A,4540,10387.81,12317.289999999999,13399.0,13400
BMP,A,27050,36017.770000000004,37982.0,39086.0,39100
CMS,C,480,1314.0,1626.0,1804.0,1310
BRC,B,7310,10205.64,10919.0,11363.0,10900
CPC,B,8470,12195.56,13437.0,14082.0,13450
BTP,B,8650,11782.38,12585.57,12999.0,12600
CSC,C,34850,51632.02,56614.34,59032.2,51600
BTT,A,24250,33434.97,35716.88,37041.75,37050
CTB,C,13750,19108.16,20623.16,21443.6,19100
BWE,C,22050,29947.02,31938.0,33116.0,29950
CTC,C,930,2216.0,2676.3,2959.0,2220
C32,B,15950,22110.66,23579.98,24341.3,23600
C47,C,5400,8031.1,8712.0,9114.0,8030
CTP,B,1480,2612.0,2982.0,3200.0,2980
CAV,B,32450,42185.99,44579.99,45919.65,44600
CTT,C,4770,6770.0,7438.0,7800.0,6770
CTX,C,2220,3865.26,4359.0,4617.3,3870
CCI,A,7360,11423.0,12691.02,13397.7,13400
CVN,A,3290,4795.0,5257.0,5512.15,5510
CX8,C,2820,4076.0,4431.0,4622.0,4080
CCL,B,2250,5203.150000000001,6178.0,6731.15,6180
D11,Not enough data,8460,14180.12,15698.36,16510.0,Not enough data
CDC,C,4170,6932.0,7718.0,8136.65,6930
DAD,A,8920,14220.8,15665.4,16561.0,16550
CEE,C,2690,5437.9400000000005,6295.41,6804.0,5440
DAE,A,8990,13590.22,15049.0,15752.7,15750
CHP,C,13900,16760.22,17451.66,17804.0,16750
CIG,D,2010,3741.15,4255.45,4563.0,2010
DC2,C,1070,3205.39,4053.0,4528.950000000001,3210
CII,C,8360,11715.85,12645.0,13164.0,11700
DDG,C,29900,33554.36,34462.54,34877.0,33550
DHP,A,6250,8102.28,8548.0,8806.0,8810
CKG,C,10850,16386.55,17730.13,18556.2,16400
DHT,B,32000,37677.56,39022.0,39680.6,39000
CLC,A,16800,23698.89,25409.62,26247.0,26250
DIH,C,3430,9164.3,11291.0,12626.0,9160
CLL,A,16550,22588.56,24229.01,25142.45,25150
DL1,B,1230,3060.56,3744.0,4164.0,3740
CLW,A,9390,15168.68,16681.52,17511.4,17500
DNC,A,9820,21596.28,25141.0,27053.0,27050
CMG,B,29950,40779.07,43663.56,45213.0,43650
DNM,C,9330,16215.0,18249.0,19321.55,16200
CMV,A,3100,5910.66,6795.98,7271.0,7270
DNP,C,6800,10793.4,11933.0,12522.0,10800
CMX,B,5140,7705.52,8449.0,8855.0,8450
DP3,A,47350,72543.4,79147.3,82591.0,82600
CNG,A,21550,28164.5,30198.5,31186.0,31200
DPC,A,2650,6276.74,7570.46,8350.1,8350
COM,A,6640,14438.6,17128.9,18751.5,18750
DS3,A,2480,3863.0,4319.0,4558.0,4560
CRC,D,2310,4715.6,5462.8,5873.0,2310
DST,B,860,1921.0,2245.0,2428.0,2240
